Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1246.69,1416.54,1760.83,2124.62,2392.69,2660.56,2948.32,3372.60,3899.39,4703.18,5463.60,6454.84,7076.54,7347.65,7602.35,7745.72,8136.19,8771.14,8406.36,9030.57,9491.66,9940.85,10260.60,10872.29,10367.32,10401.05,10797.95,11446.97,12557.55,13995.80,15622.69,16044.11,14160.56,13048.96,12746.63,13272.73,12910.59,13501.58,14285.33,15198.74,15383.58,16679.59,17376.65,13992.74
Australia,AUS,1810.62,1877.62,1854.66,1967.12,2131.38,2281.10,2344.00,2580.27,2724.37,2991.61,3305.13,3495.58,3950.17,4771.67,6484.12,7005.91,7489.59,7778.16,8255.74,9297.33,10211.84,11854.59,12788.55,11538.40,12454.55,11459.18,11384.94,11645.45,14279.16,17828.05,18243.47,18855.76,18604.19,17667.19,18079.38,20358.33,21904.29,23509.42,21345.97,20558.96,21697.71,19527.32,20117.79,23492.41,30513.94,34081.00,36117.49,41001.14,49654.91,42783.32,52087.97,62574.15,68027.84,68156.63,62511.69,56707.02,49881.76,53934.25,57180.78,54875.29,51692.84
Austria,AUT,935.46,1031.82,1087.83,1167.00,1269.41,1374.53,1486.97,1569.67,1677.67,1825.39,2058.77,2380.98,2924.05,3890.72,4630.76,5285.62,5678.39,6810.63,8205.47,9793.77,10869.55,9385.25,9410.35,9537.41,8991.07,9172.10,13083.07,16392.77,17578.62,17468.95,21680.99,22410.91,24880.16,24081.53,25646.70,30325.85,29809.08,26705.48,27361.88,27174.30,24564.46,24537.51,26401.75,32222.90,36821.52,38403.13,40635.28,46855.77,51708.77,47963.18,46858.04,51374.96,48567.70,50716.71,51717.50,44178.05,45276.83,47312.01,51461.43,50114.40,48586.80
Azerbaijan,AZE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.46,209.48,157.09,314.56,409.16,505.50,561.91,573.92,655.12,703.68,763.08,883.73,1045.01,1578.40,2473.08,3851.44,5574.60,4950.29,5843.53,7189.69,7496.29,7875.76,7891.31,5500.31,3880.74,4147.09,4739.84,4805.75,4221.41
Burundi,BDI,70.05,71.17,73.44,78.51,86.16,51.38,52.18,54.81,54.90,55.71,69.77,71.63,69.14,84.42,94.69,113.75,118.91,142.05,154.52,193.15,221.23,227.13,231.34,240.78,213.62,242.06,245.92,225.07,209.41,209.89,208.15,209.78,190.49,161.89,156.81,167.10,143.40,158.91,144.49,128.94,136.46,134.36,123.12,113.57,128.34,151.68,167.38,172.50,198.35,212.14,234.24,249.58,252.36,256.98,274.86,305.55,260.57,253.83,238.78,228.21,238.99
Belgium,BEL,1273.69,1350.20,1438.52,1535.02,1701.85,1835.59,1957.63,2086.64,2222.36,2458.08,2765.89,3082.93,3831.63,4900.96,5733.80,6701.38,7243.05,8426.95,10289.77,11810.62,12864.00,10622.80,9343.86,8846.23,8457.27,8750.82,12170.04,15135.85,16391.09,16525.06,20600.38,21041.66,23372.62,22283.94,24208.55,28413.83,27489.56,24820.94,25338.44,25244.28,23041.53,22995.16,24887.56,30587.67,35364.38,36795.98,38672.71,44262.90,48106.89,44583.54,44141.88,47348.53,44673.12,46744.66,47700.54,40991.81,41984.10,44089.31,47519.55,46591.49,45159.35
Benin,BEN,93.02,95.57,94.46,99.86,104.34,110.13,112.94,111.95,116.90,116.03,114.56,112.57,134.82,161.99,174.01,207.30,208.66,218.45,263.58,327.82,378.04,337.98,322.78,271.13,252.87,244.41,303.35,344.50,346.74,311.68,393.69,385.75,317.96,411.93,279.67,367.39,387.43,361.10,379.44,551.82,512.67,518.07,574.93,711.28,798.74,822.79,856.05,966.20,1125.43,1088.76,1036.53,1130.27,1145.14,1251.21,1291.41,1076.80,1087.29,1136.59,1241.83,1219.52,1291.04
Burkina Faso,BFA,68.42,71.56,76.52,78.37,80.47,81.73,82.55,84.36,84.73,86.52,81.50,84.29,99.33,113.78,124.36,152.73,155.65,176.78,225.94,262.08,282.69,254.23,245.09,217.99,193.84,200.89,256.76,291.13,313.06,304.85,351.98,346.41,361.05,334.94,193.07,235.83,249.36,229.49,255.72,300.42,255.72,267.10,294.67,374.63,418.38,457.93,473.45,535.06,643.40,624.18,647.84,751.17,758.00,787.47,792.85,653.33,688.25,735.00,804.50,796.12,857.93
Bangladesh,BGD,89.04,97.60,100.12,101.90,100.22,106.65,112.67,122.87,122.85,135.15,140.00,133.55,94.38,119.56,182.02,277.57,141.20,131.37,176.03,200.77,227.75,247.65,220.72,204.42,214.00,245.45,233.66,253.97,270.70,285.83,306.27,293.16,293.64,300.56,299.53,329.42,394.72,401.50,407.43,409.54,418.07,415.03,413.08,446.31,475.29,499.46,509.64,558.05,634.99,702.26,781.15,861.76,883.12,981.86,1118.87,1248.45,1401.56,1563.77,1698.13,1855.74,1961.61
Bulgaria,BGR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2238.80,2234.81,2169.00,1852.81,1963.57,1914.55,2260.43,3132.30,2511.39,2477.02,2366.53,1267.73,1211.98,1278.25,1148.49,2258.29,1470.10,1361.39,1820.41,1659.72,1621.24,1770.91,2092.96,2719.50,3389.71,3899.91,4523.05,5885.10,7265.74,6988.23,6853.00,7849.17,7432.48,7681.93,7901.79,7074.68,7569.48,8366.29,9446.70,9879.27,10079.20
