Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,CMR,118.64,123.51,128.59,130.18,137.63,141.00,144.02,154.68,168.70,173.12,176.57,184.90,218.18,269.59,297.69,383.44,378.12,430.38,574.17,707.54,774.19,743.76,721.22,726.51,749.34,848.47,1140.60,1216.06,1104.79,963.83,1045.36,975.47,965.78,1257.91,672.85,798.88,794.05,752.17,767.34,765.31,681.10,687.65,759.11,950.56,1090.79,1100.17,1147.44,1277.52,1439.55,1411.47,1352.30,1465.15,1403.52,1527.75,1604.21,1382.51,1413.26,1469.45,1585.24,1533.10,1537.13
"Congo, Dem. Rep.",COD,220.31,197.39,235.63,377.43,170.47,232.81,253.76,184.13,206.71,258.61,243.75,272.07,292.30,362.84,430.70,446.98,409.52,509.07,615.98,587.15,546.11,463.67,492.53,387.51,269.84,240.79,263.83,243.00,273.13,269.59,270.13,268.29,220.37,275.82,145.10,135.82,135.00,138.98,138.59,102.60,405.22,153.59,175.01,173.80,194.04,218.39,255.43,286.33,327.56,298.62,334.02,387.08,424.60,457.96,486.79,497.32,471.32,467.07,560.81,580.72,543.95
"Congo, Rep.",COG,129.37,145.41,155.74,157.06,165.01,171.65,185.89,194.66,200.40,205.53,207.22,235.84,291.98,374.13,392.32,499.20,476.85,469.69,523.91,694.18,959.43,1088.98,1146.31,1080.82,1098.44,1051.87,875.45,1058.23,991.52,1042.05,1187.55,1124.90,1178.03,1048.61,672.16,781.53,912.01,810.08,660.47,774.71,1032.14,869.10,916.59,1028.42,1326.60,1834.88,2153.49,2262.85,2892.42,2336.16,3073.56,3557.56,3923.09,3883.75,3776.49,2447.54,2050.99,2169.99,2606.62,2369.73,1846.13
Colombia,COL,251.04,274.05,289.92,274.31,328.66,307.65,281.57,293.64,292.26,308.00,335.12,355.41,385.11,448.03,525.53,544.29,623.43,773.75,904.01,1061.85,1241.64,1323.38,1386.67,1348.80,1304.18,1165.04,1142.94,1165.98,1232.23,1218.21,1445.33,1456.69,1697.11,1893.54,2284.84,2539.91,2620.54,2827.38,2566.02,2209.93,2520.48,2439.68,2396.63,2281.40,2782.62,3414.47,3741.09,4714.07,5472.54,5193.24,6336.71,7335.17,8050.26,8218.35,8114.34,6175.88,5870.78,6376.71,6729.58,6424.98,5334.56
Comoros,COM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,689.40,618.20,562.82,570.15,534.65,553.63,763.33,896.13,918.90,854.47,1043.79,1000.56,1047.97,1008.04,690.47,838.17,810.55,726.05,718.12,723.18,647.43,680.91,747.99,937.71,1061.08,1069.03,1114.95,1240.09,1393.22,1344.73,1316.49,1447.95,1403.36,1505.34,1513.83,1242.59,1273.05,1323.81,1428.29,1401.54,1420.66
Cabo Verde,CPV,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,501.14,483.13,477.94,461.24,431.24,441.91,602.16,732.56,811.40,807.56,908.09,923.74,1003.93,1339.73,1080.16,1261.10,1269.12,1213.63,1265.20,1408.99,1259.35,1292.23,1401.89,1809.11,2024.27,2099.15,2361.38,3186.78,3721.22,3517.43,3378.32,3740.37,3447.48,3616.04,3588.63,3043.03,3131.00,3289.90,3616.46,3603.78,3064.27
Costa Rica,CRI,381.36,355.00,334.31,344.35,352.34,372.28,393.48,412.24,442.78,474.80,533.09,568.10,636.91,767.33,816.04,936.34,1122.81,1393.00,1555.54,1734.62,2021.55,1068.50,1033.00,1213.56,1373.94,1432.08,1572.46,1571.29,1558.51,1727.87,1831.00,2247.37,2605.81,2841.64,3031.89,3265.69,3215.11,3391.98,3597.43,3668.80,3789.05,3960.31,4042.71,4147.82,4404.71,4676.38,5227.47,6103.74,6901.39,6801.04,8227.13,9229.83,10075.00,10744.09,10847.17,11642.78,12011.22,12225.57,12485.42,12693.83,12140.85
Caribbean small states,CSS,448.26,476.90,494.74,516.74,547.95,580.94,621.43,658.35,645.93,695.04,755.14,811.13,925.53,1000.86,1285.49,1485.16,1511.87,1736.75,1759.83,1999.19,2461.66,2683.66,2940.21,2942.72,2778.89,2722.83,2466.30,2633.12,2775.62,2827.69,2997.32,2951.06,2875.19,3084.66,3214.05,3514.10,3803.62,4421.51,4690.20,4938.52,5253.44,5374.08,5600.44,5945.88,6459.57,7255.14,8201.29,9054.85,10225.38,8578.72,9253.21,9920.91,10187.30,10296.53,10381.48,10141.42,9574.22,9800.97,10234.21,10291.81,8873.52
Cuba,CUB,null,null,null,null,null,null,null,null,null,null,653.43,779.72,901.37,1088.13,1223.69,1379.08,1443.30,1472.73,1835.11,2000.28,2021.72,2035.61,2107.93,2224.65,2396.35,2269.83,2378.91,2451.13,2640.92,2572.69,2703.17,2278.21,2057.10,2073.09,2624.76,2794.74,2286.93,2308.15,2331.46,2558.90,2747.10,2837.74,2999.24,3197.13,3395.71,3786.66,4683.57,5208.72,5411.27,5529.67,5730.35,6139.72,6497.31,6837.71,7133.34,7694.01,8060.80,8541.21,8824.19,9125.88,9477.85
Curacao,CUW,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20146.39,20587.40,20462.72,20258.01,19951.33,19555.37,19457.53,19630.89,19701.27,16745.72
Cayman Islands,CYM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,82801.54,85433.03,85188.34,77400.42,73351.76,72329.66,72777.15,73514.67,74990.43,76284.19,78471.63,81513.16,86059.74,91392.64,85082.53
Cyprus,CYP,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,976.33,1157.41,1476.27,1929.40,2559.26,4232.02,4033.24,4122.78,4091.05,4258.74,4488.29,5642.63,6690.58,7645.63,8038.91,9641.58,9696.10,11310.07,10526.14,11617.69,15261.41,15139.23,14234.24,15092.83,15287.92,14388.35,14821.45,16093.21,20252.24,23792.62,24959.26,26729.32,31244.93,35397.36,32109.24,31023.64,32396.39,28912.16,27729.19,27163.33,23408.34,24605.92,26608.88,29334.11,29206.08,27527.85
Czech Republic,CZE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3941.50,2896.61,3372.87,3956.18,4630.55,5824.12,6532.84,6034.49,6489.70,6337.42,6029.04,6637.04,8060.87,9818.57,11749.85,13430.67,15261.80,18466.55,22804.58,19861.70,19960.07,21871.27,19870.80,20133.17,19890.92,17829.70,18575.23,20636.20,23419.74,23660.15,22931.27
Germany,DEU,null,null,null,null,null,null,null,null,null,null,2761.17,3192.13,3809.98,5046.76,5639.08,6236.36,6634.86,7682.95,9482.04,11281.02,12138.31,10209.07,9913.74,9864.34,9313.17,9429.57,13461.83,16677.51,17931.28,17764.38,22303.96,23357.76,26438.23,25522.63,27076.61,31658.35,30485.87,26964.05,27289.06,26725.92,23635.93,23607.88,25077.73,30243.58,34044.05,34507.37,36323.45,41587.21,45427.15,41485.90,41531.93,46644.78,43858.36,46285.76,47959.99,41086.73,42107.52,44542.30,47950.18,46794.90,46208.43
Djibouti,DJI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,801.18,null,761.46,748.20,725.75,766.15,762.01,777.27,753.51,790.03,789.56,767.51,760.64,755.76,765.86,768.18,780.90,791.38,818.87,863.24,904.74,967.68,1052.72,1223.85,1267.32,1343.28,1451.55,1559.24,2312.72,2464.29,2658.95,2802.17,2914.36,3141.86,3414.92,3425.48
Dominica,DMA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,624.61,769.12,733.96,966.63,1090.20,1193.51,1324.65,1478.17,1632.25,1863.51,2113.93,2402.77,2617.82,2860.32,3122.65,3317.82,3467.00,3721.27,3860.80,4120.58,4292.11,4593.86,4751.09,4787.80,4883.00,4770.85,4897.31,5216.87,5160.89,5518.42,5951.86,6468.94,6903.15,6967.36,7065.46,6849.46,7016.38,7317.49,7597.29,8080.97,7274.52,7687.46,8516.28,7003.86
Denmark,DNK,null,null,null,null,null,null,2487.14,2700.75,2776.14,3151.13,3464.46,3845.51,4654.30,6119.37,6770.75,7999.11,8787.59,9783.85,11826.02,13752.00,13883.89,12081.80,11804.43,11857.89,11562.92,12253.10,17201.09,21340.73,22527.05,21901.05,26891.45,27011.38,29569.66,27597.98,29995.58,35351.37,35650.71,32835.94,33368.14,33440.79,30743.55,30751.65,33228.69,40458.78,46511.60,48799.83,52027.00,58487.05,64322.06,58163.28,58041.40,61753.65,58507.51,61191.19,62548.98,53254.86,54664.00,57610.10,61591.93,59775.74,61063.32
Dominican Republic,DOM,204.11,192.03,234.05,258.60,272.97,229.02,245.99,250.98,254.05,281.38,330.13,360.15,417.92,480.05,583.48,699.60,748.99,848.29,854.65,969.50,1164.95,1273.83,1362.51,1487.28,1831.09,780.39,928.03,865.83,783.04,955.52,991.61,1351.30,1566.53,1733.40,1905.94,2127.75,2293.75,2476.06,2638.31,2653.23,2869.18,2977.43,3110.33,2418.35,2487.33,3932.78,4109.03,4707.80,5087.98,5039.40,5555.39,5913.43,6110.37,6238.13,6608.83,6921.52,7280.88,7609.35,8050.64,8282.12,7268.20
Algeria,DZA,246.30,214.77,172.24,226.90,238.04,249.88,235.60,253.92,281.93,302.75,336.22,341.39,442.68,554.29,818.01,936.79,1037.61,1192.74,1456.42,1782.70,2203.06,2237.09,2210.30,2312.66,2467.35,2582.88,2756.95,2807.50,2417.38,2215.96,2408.82,1731.62,1776.03,1807.30,1507.89,1452.28,1603.94,1619.80,1596.00,1588.35,1765.03,1740.61,1781.83,2103.38,2610.19,3113.09,3478.71,3950.51,4923.63,3883.27,4480.79,5455.68,5592.22,5499.59,5493.06,4177.89,3946.45,4109.70,4142.02,3989.67,3306.86
East Asia & Pacific (excluding high income),EAP,90.90,80.06,72.14,76.20,85.83,97.48,103.67,98.02,96.68,105.59,114.11,119.39,132.07,162.30,179.65,198.03,197.74,224.60,214.41,244.51,277.92,292.11,301.52,310.61,331.28,356.81,350.00,339.95,370.49,394.05,415.72,444.14,490.88,531.74,631.61,769.55,873.14,893.26,804.40,875.97,954.90,1007.58,1105.21,1239.38,1426.52,1639.19,1958.52,2457.16,3084.88,3321.88,3997.01,4850.33,5365.24,5870.79,6277.73,6488.67,6575.51,7131.63,7924.23,8145.35,8254.67
Early-demographic dividend,EAR,159.77,156.92,157.88,163.51,182.91,193.37,186.23,190.92,201.85,219.81,226.77,239.52,255.76,319.00,436.10,457.61,488.42,532.99,577.89,686.01,832.77,907.12,841.50,825.63,799.62,802.80,789.93,775.83,795.40,792.39,908.61,939.97,1012.33,1097.25,1130.51,1136.29,1214.97,1274.07,1232.54,1280.02,1367.83,1332.24,1273.35,1393.67,1596.39,1831.76,2059.48,2400.68,2666.20,2534.64,3026.31,3270.24,3371.76,3375.25,3443.02,3229.30,3257.39,3473.46,3452.38,3503.44,3201.65
East Asia & Pacific,EAS,148.43,148.66,149.67,163.03,182.71,198.62,216.25,228.68,245.95,276.01,317.07,342.62,415.16,534.89,603.42,648.45,700.97,822.46,1022.04,1093.28,1164.54,1264.65,1219.70,1277.21,1347.50,1400.62,1801.38,2081.01,2463.59,2526.48,2599.82,2893.63,3120.53,3446.58,3856.36,4327.30,4121.55,3896.21,3449.15,3814.75,4089.24,3769.35,3796.93,4141.93,4610.66,4882.91,5137.18,5699.92,6525.46,6669.32,7717.81,8886.95,9432.51,9463.49,9686.88,9579.47,9845.91,10442.86,11297.60,11478.03,11477.79
Europe & Central Asia (excluding high income),ECA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2346.34,2258.63,2385.81,2302.95,2118.68,2093.00,1811.34,1942.35,1960.09,2036.58,1908.55,1603.50,1787.93,1777.26,2037.88,2569.42,3399.63,4307.04,5279.34,6826.28,8430.33,6595.34,7836.43,9626.44,10149.01,10717.66,9927.56,7557.50,7189.29,8026.77,8213.36,8343.55,7668.52
Europe & Central Asia,ECS,null,null,null,null,null,null,1032.94,1102.24,1142.97,1253.53,1376.06,1540.15,1830.31,2306.37,2586.34,2999.35,3095.59,3484.34,4224.18,5133.03,5774.48,5105.54,4890.76,4717.78,4507.88,4637.42,6291.42,7726.94,8548.89,8612.36,10485.06,10783.53,11542.68,10568.11,11024.78,12707.85,12950.04,12259.95,12562.27,12405.30,11664.93,11778.81,12848.23,15606.46,18138.46,19256.30,20785.33,24199.24,26470.66,23190.13,23666.47,26171.66,25133.28,26143.50,26368.36,22619.70,22446.17,23670.08,25290.33,24906.44,23955.31
Ecuador,ECU,455.46,375.22,315.69,368.63,440.56,455.20,449.92,459.28,451.00,527.90,471.63,440.86,495.54,588.34,970.01,1105.42,1264.91,1493.33,1572.40,1821.05,2238.22,2660.61,2369.95,1988.79,1912.43,1891.56,1648.01,1464.49,1337.89,1390.21,1489.53,1622.21,1688.50,1727.76,2026.11,2132.91,2155.52,2356.37,2293.89,1578.93,1445.28,1894.62,2172.10,2425.85,2691.28,3002.14,3328.88,3567.84,4249.02,4231.62,4633.59,5200.56,5682.05,6056.33,6377.09,6124.49,6060.09,6213.50,6295.93,6222.52,5600.39
"Egypt, Arab Rep.",EGY,null,null,null,null,null,162.61,168.96,174.86,180.41,193.59,233.01,243.81,257.59,273.70,244.75,301.75,337.77,357.08,358.85,426.35,500.36,498.56,607.28,662.69,708.20,792.82,815.25,778.12,655.07,725.63,765.64,651.08,713.45,777.86,849.45,965.11,1063.33,1208.72,1281.40,1343.55,1450.48,1378.20,1191.10,1102.47,1062.16,1186.39,1397.44,1667.32,2044.53,2331.27,2645.97,2791.81,3229.69,3262.66,3379.56,3562.93,3519.87,2444.29,2537.13,3019.09,3569.21
Euro area,EMU,923.19,1005.02,1106.29,1229.91,1355.65,1468.54,1589.04,1714.40,1828.30,2027.21,2236.45,2520.91,3024.90,3902.04,4400.04,5075.63,5273.30,5974.29,7286.24,8790.14,9802.57,8486.68,8194.30,7978.05,7639.73,7833.80,10966.93,13527.12,14827.48,15081.09,18893.01,19552.17,21471.77,19567.25,20595.14,23695.31,23913.60,21810.21,22381.05,22212.64,20165.90,20433.14,22109.08,27135.14,30950.47,31937.71,33768.59,38668.59,42184.61,38429.89,37569.58,40604.82,37598.01,39109.31,39859.68,34374.49,35139.82,37062.14,40038.19,39188.64,37967.80
Eritrea,ERI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,211.33,209.00,239.67,262.23,315.75,312.72,337.89,307.91,308.13,316.82,293.96,334.59,407.77,388.60,415.04,439.83,450.63,595.11,501.36,642.51,null,null,null,null,null,null,null,null,null
Spain,ESP,396.39,450.05,520.21,609.49,675.24,774.76,889.66,968.31,950.55,1077.68,1212.29,1362.17,1708.81,2247.55,2749.92,3209.84,3279.31,3627.59,4356.44,5770.21,6208.58,5371.17,5159.71,4478.50,4489.99,4699.66,6513.50,8239.61,9703.12,10681.97,13804.88,14811.90,16112.19,13339.91,13415.29,15471.96,16109.08,14730.80,15394.35,15715.33,14713.07,15355.70,17025.53,21463.44,24861.28,26419.30,28365.31,32549.97,35366.26,32042.47,30502.72,31636.45,28324.43,29059.55,29461.55,25732.02,26505.34,28100.59,30349.75,29555.32,27063.19
Estonia,EST,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3134.39,3380.93,3682.95,4093.39,4140.94,4070.61,4505.86,5341.63,7203.52,8914.10,10412.64,12639.40,16744.58,18204.97,14711.74,14663.04,17464.92,17404.20,19050.59,20234.12,17395.04,18282.92,20387.28,23052.30,23397.12,23027.03
Ethiopia,ETH,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,203.56,208.34,224.63,205.62,233.22,234.68,242.96,243.74,248.02,254.24,271.39,204.05,165.69,125.55,134.34,145.17,141.51,125.08,119.68,124.46,120.77,111.93,119.49,136.47,162.43,194.69,244.29,326.44,380.57,341.55,354.48,467.08,499.53,566.93,640.54,717.12,768.52,771.52,855.76,936.34
European Union,EUU,null,null,null,null,null,null,null,null,null,null,1879.08,2113.36,2533.10,3257.79,3666.50,4245.05,4419.90,4982.04,6042.21,7272.07,8098.50,7032.04,6759.32,6558.83,6304.67,6468.96,9020.13,11124.74,12173.47,12393.23,15454.96,15972.32,17510.46,15933.21,16835.65,19464.95,19750.71,18089.06,18616.22,18477.34,16910.40,17185.96,18682.65,22923.65,26266.17,27335.77,29072.61,33554.45,36920.85,33369.39,32943.06,35716.16,33160.52,34569.65,35245.86,30474.50,31168.44,33023.79,35737.30,35083.81,34148.92
Fragile and conflict affected situations,FCS,null,null,null,null,null,null,null,null,158.12,171.96,204.68,202.45,225.89,269.95,391.01,427.71,490.40,525.51,563.54,693.56,840.43,1147.72,1075.63,892.85,785.73,798.48,760.36,771.50,747.10,681.43,1023.14,598.96,587.88,546.94,534.11,625.56,642.27,711.37,704.05,765.36,875.75,841.30,797.80,806.37,989.18,1208.96,1453.25,1730.69,2155.12,2005.83,2296.71,2042.13,2249.30,2281.14,2414.42,1878.71,1656.74,1657.34,1770.23,1828.65,1622.22
Finland,FIN,1179.35,1327.43,1411.70,1522.32,1707.50,1882.09,2010.21,2034.19,1907.08,2178.04,2465.64,2716.19,3177.65,4173.17,5297.61,6255.54,6739.69,7069.11,7628.82,9332.25,11223.94,10926.82,10938.12,10497.48,10833.87,11398.11,14951.05,18571.06,22047.79,23973.24,28364.65,25484.74,22319.06,17608.81,20301.33,26271.60,25783.45,24691.87,26009.27,26177.35,24285.47,24946.19,26869.67,32855.13,37702.85,39040.29,41188.09,48414.85,53554.04,47293.99,46459.97,51082.00,47710.79,49878.04,50260.30,42784.70,43784.28,46297.50,49964.50,48628.64,48744.99
Fiji,FJI,285.47,287.27,291.47,296.71,310.81,317.02,316.13,333.27,334.61,357.42,422.39,466.03,583.32,768.69,987.92,1186.68,1182.09,1202.63,1360.79,1640.56,1892.88,1898.01,1786.86,1638.38,1681.71,1603.22,1795.37,1631.96,1535.40,1632.19,1835.12,1881.76,2058.38,2167.10,2384.73,2540.98,2713.83,2636.67,2066.07,2401.69,2069.32,2030.25,2248.71,2818.91,3311.16,3627.63,3715.93,4040.15,4167.69,3362.82,3652.54,4371.45,4591.58,4840.73,5605.61,5390.71,5651.27,6101.02,6317.41,6175.89,5057.63
France,FRA,1334.69,1428.05,1578.28,1744.64,1909.54,2038.16,2186.47,2343.10,2536.09,2752.10,2857.25,3169.04,3854.56,4969.76,5328.24,6690.58,6866.82,7532.53,9264.78,11179.63,12713.37,11104.98,10496.93,9993.42,9419.70,9763.33,13540.25,16302.45,17680.00,17694.31,21793.84,21675.06,23813.71,22380.11,23496.52,26890.22,26871.83,24228.95,24974.27,24673.20,22364.03,22433.55,24177.34,29568.39,33741.26,34760.19,36443.63,41508.43,45334.12,41575.42,40638.34,43790.73,40874.70,42592.94,43011.26,36638.18,37037.37,38685.26,41572.49,40578.64,39030.36
Faroe Islands,FRO,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24035.29,24129.41,22651.86,24418.70,26731.66,31493.32,35467.18,36198.54,41521.68,47885.70,50863.95,47441.92,48541.40,52092.60,49459.72,54843.32,59433.83,52400.30,56854.10,59993.09,62918.15,64225.26,null
"Micronesia, Fed. Sts.",FSM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1320.85,null,null,1276.51,1296.88,1355.67,1437.35,1528.49,1682.54,1756.65,1909.51,1909.84,2060.49,2017.66,1904.86,2022.74,2042.71,2171.89,2248.49,2265.94,2295.87,2253.11,2358.15,2406.11,2458.66,2541.26,2721.98,2885.31,3009.26,3131.39,2994.79,2971.51,2906.62,3014.70,3289.64,3568.29,3585.39,3565.29
Gabon,GAB,282.42,331.44,357.52,298.47,410.90,424.62,452.66,490.10,520.48,550.73,549.45,635.50,703.78,1160.32,2432.84,3331.99,4550.07,4154.22,3452.62,4275.26,5892.10,5186.38,4736.03,4325.30,4423.52,4038.07,4004.04,3755.47,4267.81,4532.15,6268.92,5537.00,5578.04,4252.07,3963.88,4570.57,5116.20,4667.19,3831.78,3888.88,4135.99,3993.03,4141.43,4933.46,5739.61,6891.36,7221.37,8458.31,10254.17,7721.02,8849.32,10809.68,9813.51,9683.58,9663.42,7384.70,6984.42,7230.43,7959.01,7767.00,6881.72
United Kingdom,GBR,1397.59,1472.39,1525.78,1613.46,1748.29,1873.57,1986.75,2058.78,1951.76,2100.67,2347.54,2649.80,3030.43,3426.28,3665.86,4299.75,4138.17,4681.44,5976.94,7804.76,10032.06,9599.31,9146.08,8691.52,8179.19,8652.22,10611.11,13118.59,15987.17,16239.28,19095.47,19900.73,20487.17,18389.02,19709.24,23206.57,24438.53,26742.98,28269.32,28726.86,28223.07,27806.45,30049.90,34487.47,40371.71,42132.09,44654.10,50653.26,47549.35,38952.21,39688.61,42284.88,42686.80,43713.81,47787.24,45404.57,41499.56,40857.76,43646.95,43070.50,41059.17
Georgia,GEO,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1614.65,null,null,547.33,519.86,578.34,689.06,807.03,851.53,673.54,749.91,801.99,853.52,1010.01,1305.05,1642.76,1996.06,2635.35,3324.74,2822.67,3233.30,4021.74,4421.82,4623.75,4739.19,4014.19,4062.17,4357.00,4722.79,4697.98,4266.69
Ghana,GHA,183.45,190.22,195.49,211.06,230.09,265.32,267.75,214.83,200.31,230.29,253.57,269.37,228.86,259.70,296.89,281.41,271.13,306.81,345.83,372.06,402.06,372.08,345.64,337.16,355.67,352.35,435.07,374.47,372.68,365.89,398.64,433.77,409.75,370.42,328.74,379.99,397.14,384.80,407.52,410.33,258.47,269.01,304.56,367.82,417.51,492.54,913.39,1081.17,1217.06,1077.66,1299.35,1549.46,1587.56,2361.09,2012.26,1774.07,1971.96,2074.29,2260.86,2246.63,2205.53
Gibraltar,GIB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Guinea,GIN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,354.42,351.91,398.55,394.33,419.81,461.38,489.07,475.43,477.76,508.10,518.37,493.82,456.49,429.72,363.48,336.15,343.60,393.74,407.30,322.42,453.40,659.99,715.10,674.09,672.42,651.14,717.05,769.00,787.24,769.26,732.29,855.58,955.11,1058.14,1194.04
"Gambia, The",GMB,null,null,null,null,null,null,106.41,109.45,93.85,100.10,112.61,116.56,120.14,148.17,183.08,213.31,201.12,239.43,288.06,335.80,378.31,332.68,318.61,304.84,244.37,298.66,234.66,265.49,305.31,310.30,331.82,695.41,695.16,711.73,682.21,696.45,728.67,669.40,678.68,637.94,594.15,505.42,411.77,335.91,642.76,665.72,662.36,780.38,924.51,833.28,860.64,762.76,742.78,700.52,607.43,660.72,690.78,679.76,732.72,772.05,773.00
Guinea-Bissau,GNB,null,null,null,null,null,null,null,null,null,null,111.69,109.33,119.73,119.78,130.37,142.28,145.88,148.98,158.87,153.01,141.56,194.92,204.25,197.03,162.67,164.94,145.91,190.45,176.26,223.47,250.15,257.79,221.80,227.02,220.96,233.24,243.44,237.13,178.85,190.67,308.91,319.96,333.06,372.06,405.08,436.48,430.00,493.72,600.00,559.41,558.17,703.66,616.38,634.66,623.31,603.40,661.46,738.55,802.77,749.45,727.52
Equatorial Guinea,GNQ,null,null,34.79,40.75,46.98,234.34,243.77,247.84,225.49,221.14,218.21,217.32,226.00,292.46,354.30,407.71,418.01,429.42,null,null,202.63,138.94,155.62,144.20,151.77,176.42,207.05,243.74,254.54,217.07,267.47,256.23,301.18,294.07,210.41,285.55,450.65,824.55,663.72,1067.64,1725.56,2313.17,2744.19,3618.54,6152.13,10963.41,12857.37,15908.41,22942.61,16668.12,17288.84,21641.69,21711.15,20390.74,19394.08,11283.40,9250.32,9667.86,10005.62,8419.93,7143.24
Greece,GRC,520.32,590.78,617.06,695.23,783.71,899.28,997.43,1068.11,1154.44,1324.06,1494.39,1652.33,1899.68,2502.81,2828.75,3153.24,3390.54,3886.37,4694.63,5705.95,5893.66,5380.27,5579.23,5019.88,4852.57,4813.71,5656.51,6564.88,7598.03,7846.68,9600.19,10188.37,11176.46,10401.98,11091.28,12959.32,13749.12,13427.83,13472.14,13245.19,12042.95,12538.18,14110.31,18477.58,21955.10,22551.74,24801.16,28827.33,31997.28,29710.97,26690.61,25450.53,21914.25,21781.60,21587.96,18076.61,17911.80,18536.19,19747.34,19133.76,17622.54
Grenada,GRD,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,792.45,991.23,1153.96,1245.62,1276.37,1346.86,1372.67,1477.92,1678.07,1872.47,2162.53,2408.71,2757.89,2887.00,3117.89,3192.23,3153.82,3272.55,3411.97,3632.68,3861.40,4370.62,4705.79,5056.98,5041.01,5213.80,5682.71,5741.65,6645.99,6658.22,7212.99,7832.35,7290.83,7258.17,7291.74,7444.09,7789.63,8370.04,9096.54,9628.26,10152.83,10466.88,10827.44,9261.55
Greenland,GRL,null,null,null,null,null,null,null,null,null,null,1498.28,1876.50,2196.71,2860.28,3432.71,4257.95,4844.68,5713.95,7235.55,8480.69,9483.17,8544.06,7813.69,7988.17,7198.70,7760.83,11271.32,14554.39,16398.01,16813.68,18326.81,18315.20,18768.93,16797.46,18123.96,21665.70,21422.36,19145.50,20496.66,20170.44,19004.11,19275.47,20652.88,27459.76,32023.45,32489.78,35458.12,39780.95,44367.06,44918.56,43988.33,47186.98,45936.77,47535.59,50484.93,44536.40,48181.87,50765.70,54270.82,53041.30,null
Guatemala,GTM,252.76,253.23,261.18,280.10,279.93,278.83,283.19,287.97,310.66,322.44,349.02,355.09,367.12,438.54,527.42,594.65,696.22,854.64,925.13,1027.08,1143.44,1217.26,1200.25,1212.72,1234.70,1233.08,892.29,850.22,915.40,955.11,845.31,1011.75,1093.96,1164.37,1293.47,1424.68,1487.61,1649.00,1755.85,1619.51,1664.30,1550.36,1682.99,1737.88,1859.10,2068.50,2251.09,2490.75,2802.46,2651.82,2852.55,3228.05,3355.04,3522.77,3779.64,3994.64,4173.30,4454.05,4478.42,4638.63,4603.34
Guam,GUM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21594.04,22628.28,24472.78,26596.21,26713.06,27680.55,29288.78,30320.54,31040.08,31210.47,32908.31,33656.45,34843.21,35829.25,36214.01,36601.92,36556.67,38040.59,34624.34
